"rank","address","partiscore_absolute","partiscore_percentile","number_of_daos","number_of_proposals","number_of_votes"
194.0,"0x6eaf1b33b8672c5dc40ab8f4ba3a0111723126c7",30.22560198412954,99.99580389081505,2.0,159.0,1.0
195.0,"0x981cac16246d9641be07bba6e19e304b74b173bc",30.212824951832793,99.9957821493167,5.0,13.0,274.0
196.0,"0x8fdb747c1cfe6568fcc7223d8c585c2d73fc4058",30.207950168002252,99.99576040781834,55.0,60.0,1.0
197.0,"0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4",30.160068024735654,99.99573866631997,12.0,11.0,230.0
198.0,"0xc47ecb8853f5916374a9e805fb3732fe8b7d5758",29.83593930401913,99.9957169248216,1.0,54.0,50.0
199.0,"0x59d6779eca6c91ed7679e261b54299b5155eadf0",29.81487352463933,99.99569518332324,15.0,0.0,319.0
200.0,"0x1b53012acbac544b88a6a2dc881012b1eaad87d0",29.814122217376557,99.99567344182486,19.0,0.0,373.0
201.0,"0x4131826eafdcb7dcd855fae9098ec693165f157d",29.793645891840832,99.99565170032649,19.0,0.0,228.0
202.0,"0x908e8e8084d660f8f9054aa8ad1b31380d04b08f",29.72706128452849,99.99562995882812,35.0,0.0,309.0
203.0,"0x91628ddc3a6ff9b48a2f34fc315d243eb07a9501",29.717289174768766,99.99560821732976,4.0,81.0,157.0
204.0,"0x895be97bdb9f8a244c472b18ea96dee39ddf8fe5",29.606533834048857,99.99558647583139,3.0,0.0,252.0
205.0,"0xd6587a974c7d3ece23fa53d5606da6b291311f6f",29.6002633523025,99.99556473433302,9.0,0.0,265.0
206.0,"0x6d428208a3be587b914f8047851bcd561e0c6735",29.561595979992585,99.99554299283466,2.0,115.0,1.0
207.0,"0x2d59309df7ab517e554b5e9033f7950d57801aff",29.544471656008053,99.99552125133629,23.0,0.0,192.0
208.0,"0x24fc7a0751bbf53c239cc1d21d2951a5b21f733d",29.482298174188426,99.99549950983791,16.0,0.0,245.0
209.0,"0xca26545fe29370565c2533d39b5294c7b7c89f17",29.4822746231549,99.99547776833954,19.0,0.0,368.0
210.0,"0x17dfd18987b6b131686fea478600b75d11193335",29.478856656295164,99.9954560268412,50.0,5.0,190.0
211.0,"0xbac3ab60a1643e5f5de8eb62cb4bb232711d9dcd",29.458524926100658,99.99543428534282,2.0,64.0,39.0
212.0,"0xa3632dd93b046817ae313a22a0e76cca971499e7",29.45727476402046,99.99541254384445,24.0,0.0,191.0
213.0,"0x9326029b9af034cc05fdc9af453cedf249ac7ed9",29.39939839506077,99.99539080234608,2.0,13.0,302.0
214.0,"0x613e052555ac74ff6af0fc64e40e8035c1e9dcf8",29.387783342922383,99.99536906084772,3.0,0.0,189.0
